title,source,q1,q2,sep
How many generations back is suggested by 6 mutations on a yDNA-67 match?,Genealogy_16,How many generations plus or minus would you need to add to the mean to include one standard deviation?,"It is suggested that the common ancestor might be 9 generations away, so I'm wondering if that is realistic?",0
Understanding 1807-1812 Pennsylvania land records document?,Genealogy_17,"I suppose I'm confused as to whether Sarah Penrod is deceased or not in 1807, and if her daughter (Mary Bateman) is the individual responsible for distributing the 8 shares of land, or if Mary is simply selling her land?",Is Christian Rice inheriting land from Sarah Penrod via Mary Bateman?,0
Gramps syncing with Dropbox or via second Genealogy program?,Genealogy_19,on PC 2 (Win Vista)?,"If so, which one?",0
Gramps syncing with Dropbox or via second Genealogy program?,Genealogy_19,"If so, which one?",Does someone has day-to-day experience with Gramps and Dropbox-Sync on two computer?,0
Gramps syncing with Dropbox or via second Genealogy program?,Genealogy_19,Does someone has day-to-day experience with Gramps and Dropbox-Sync on two computer?,Is it really that dangerous?,0
"Finding Baptism Record for John Bohling who was born 1843 in Hanover, Germany?",Genealogy_20,"Her death was in Utica, New York 5 February 1896 and also verified through an obituary in the Utica, New York newspaper      Timeline for John Bohling   14 Feb 1843 - born in the city of Hanover (Germany) (family documents)  abt Feb 1843 - baptism?, but which religious denomination, which parish?",bef 1869 1867- arrival in USA marriage probably bef 1869 - USA or Germany?,0
Offline availability of commercially available online sources?,Genealogy_21,"Especially I am wondering to which extent genealogical sources (excluding those from FamilySearch) from the US/UK hosted by Ancestry, MyHeritage and other major commercial players are still available for research elsewhere (public archives, libraries, ...)?","Are there sources that are not available elsewhere anymore, resulting in an oligopoly or even a monopoly for commercial providers?",0
Deciphering an Intended Marriage from England around 1800,Genealogy_22,"Specifically, I have the following questions:   My transcription of the handwritten text states ""George Dutton of Coddington in the bounty and Diocese of?",bertha Darem?r and Robert Ruseve of ?????,0
Deciphering an Intended Marriage from England around 1800,Genealogy_22,bertha Darem?r and Robert Ruseve of ?????,"of Coddington, does that imply that George was born there?",170
Deciphering an Intended Marriage from England around 1800,Genealogy_22,"of Coddington, does that imply that George was born there?",Is there anything else in there to indicate where he was born?,0
Deciphering an Intended Marriage from England around 1800,Genealogy_22,Is there anything else in there to indicate where he was born?,"The printed portion states something about giving ""the Sum of Five hundred Pounds of good and lawful Money ..."" Was that the cost of marriage in that day?",0
Unable to import data from Ancestor Research Tool (ART)?,Genealogy_23,Can anybody help me recover my data?,Or have this old program?,0
Looking for information on fathers of children born out of wedlock,Genealogy_25,"Were mothers required to name the father back then, and that information was kept under seal?",Is there any alternative way to discover the father's identity?,51
"Allegheny County, Lilly PA, April 1924 List of those Involved in KKK & Residents Clash",Genealogy_26,"My specific question is: Has anyone taken inventory of the membership or even the leadership details of these 5 boxes of documents and microfilmed, digitized, or even made summary list of those documents and made it available online or something I could request via my library?","OR Is anyone aware of a full list of individuals (newspaper articles mention a couple dozen only) involved on both sides of the Lilly, PA incident that may be available in now publicly available information?",0
Requesting copies of WWII Draft Registration cards?,Genealogy_27,Question  What is a cost effective way to obtain a (scanned) copy of a document from this collection?,Is there a company (or individual) that I could pay to obtain this copy on my behalf?,90
Exporting my tree from Ancestry without latest version of Family Tree Maker,Genealogy_29,Is it possible to export data from Ancestry without Family Tree Maker?,"Apart from the unnecessary expense, the reviews are awful: [website]Does anyone know of any other snazzy ways of getting my data out of Ancestry?",451
Searching for great grandfather Arnold Kuhn who lived in Poland then Russia?,Genealogy_31,Is there any way to trace the origins of my great grandfather Arnold Kuhn?,Is there any way to find the origins of my Polish great grandfather Arnold Kuhn and precisely where he came from?,427
Did Edward Buten change his name from Edward Bulen?,Genealogy_32,Did Edward change his name from Bulen to Buten or does this look like a transcription error?,How would a professional genealogist proceed and break through this brick wall?,0
Birth place points to Quaker Monthly Meeting,Genealogy_33,Does that mean that the ancestor was born at the meetinghouse?,Or just within the congregation's geographical boundaries?,0
Birth place points to Quaker Monthly Meeting,Genealogy_33,Or just within the congregation's geographical boundaries?,Is anyone familiar with these types of locations for vital records?,513
Birth place points to Quaker Monthly Meeting,Genealogy_33,Is anyone familiar with these types of locations for vital records?,How do I interpret them?,0
Find Austrian vital records?,Genealogy_34,Are there any websites I could find any records of his (especially birth record)?,Are there JRI-Poland-like websites dedicated for Austria?,53
What is sibling of son-in-law or daughter-in-law called?,Genealogy_36,Is there a term for the sibling of ones son-in-law or daughter-in-law?,Is there an accepted term for this relationship?,198
Name of the church for this parish register?,Genealogy_38,"Does the archive slip say ""Notre Dame de Bonsecours""?","How can I find out more about where this parish register came from, and where this parish is located?",0
What might 'pitt Zink' in 1873 South Australian diary mean?,Genealogy_39,Weather showery Wark finished the Shed and ????,????,0
What might 'pitt Zink' in 1873 South Australian diary mean?,Genealogy_39,????,on the old Stable and hung Froggatts' new Gate   The words replaced by question marks above seem to be pitt Zink but if that is their spelling then what is their meaning?,0
Explaining risks when seeking DNA testing by cousin?,Genealogy_40,What should I say when broaching the subject to him to reassure him about his privacy/keeping control of the results and persuade him to test?,This is similar to Asking distant cousins for DNA?,0
DNA question on %.,Genealogy_41,( (We all took the DNA test) how can I be just as Spanish as my mom if my dad wasn't  at all?,shouldn't I only be 15%?,0
"Why did many 19th century death certificates list age in years, months and days?",Genealogy_42,Why would this be done?,Is there some benefit to this that I am not seeing?,0
"Why did many 19th century death certificates list age in years, months and days?",Genealogy_42,Is there some benefit to this that I am not seeing?,"So given that making an error seems more likely with this practice, why was it done?",1001
"Why did many 19th century death certificates list age in years, months and days?",Genealogy_42,"So given that making an error seems more likely with this practice, why was it done?",Isn't the exact date of birth more important than the exact age?,0
"Why did many 19th century death certificates list age in years, months and days?",Genealogy_42,Isn't the exact date of birth more important than the exact age?,Or is that just a modern view?,0
Finding out the ethnicity of your DNA matches?,Genealogy_43,How exactly do you go about finding the ethnicity of your matches?,?,73
Does having child of DNA tested parent help find parent's DNA ancestors?,Genealogy_44,"If a parent (Charlie, a male) has been autosomal tested, and does not have either of his deceased parents (Alice and Bob) tested, and thus he does not have his autosomal DNA phased between their mother (Alice) and father (Bob), does testing one or more children of Charlie (Dick, Elizabeth, Frank, and George) help with phasing Charlie?","What if some of Charlie's children (Frank and George) are with a different spouse of Charlie than the others (Dick and Elizabeth), does that help more?",0
"Finding parents of John Brown 1774-1845 born Kingsbury Episcopi, Somerset, England?",Genealogy_45,He married a Mary WILLY from Kingsbury Episcopi but where did he come from?,Have I attributed the wrong father to John?,0
Ancestry Ethnicity says I'm 100% Irish and Scottish?,Genealogy_46,Can you explain how I can be 100% Ireland and Scotland in my Ethnicity estimate on Ancestry?,"Why not 99% Ireland and 1% Scotland, how can it be 100% both?",0
Representing large pedigree chart as spreadsheet?,Genealogy_48,Has anyone had a familiar experience where a lot of information and research is going on simultaneously that needs to be captured with a somewhat visual representation of the relationships?,"If so, what worked for you?",0
Representing large pedigree chart as spreadsheet?,Genealogy_48,"If so, what worked for you?",Are there better methods than a spreadsheet?,0
How much Chinese dna will show up on my dna test,Genealogy_49,"I have a picture of my Great Great Grandfather he definitely looks Chinese, his father was 100 percent Chinese and he married a Native American they would be my Great Great Great Grandparents, why am I not showing any percentage of Asian or Native American on my results?",If my father were tested would it possibly show up on him since it would be his Great Great Grandfather?,0
Half siblings using cMs (centimorgans),Genealogy_50,1st cousin amount of cMs is between 680-1150 Halfsibling amount of cMs is between 1450-2050  What about the amounts outside the range?,Is she likely to be my sister?,0
Using DNA to link individuals after a name change,Genealogy_51,How do I go about using genetic testing to support (or disprove) the identity of an individual before a name change?,Could genetic testing be helpful in supporting (or disproving) the theory that Everett T Malcom and Mark Ellsworth Templin are one and the same?,1053
Using DNA to link individuals after a name change,Genealogy_51,Could genetic testing be helpful in supporting (or disproving) the theory that Everett T Malcom and Mark Ellsworth Templin are one and the same?,"If so, what strategies would be most helpful?",0
Using DNA to link individuals after a name change,Genealogy_51,"If so, what strategies would be most helpful?",Should I contact descendants of Mark's siblings and ask them for their genetic info to compare with my great-uncle?,184
Using DNA to link individuals after a name change,Genealogy_51,Should I contact descendants of Mark's siblings and ask them for their genetic info to compare with my great-uncle?,What are the names of the tests for this that I should look for when shopping for a DNA company?,0
"How can genetic relatives be related to both maternal and paternal sides, but not each other?",Genealogy_52,How can this be?,Could someone please explain this to me in layman's terms?,176
"Statistical Genealogy, or Knowing what is an extraordinary claim",Genealogy_53,But how does one know what is an extraordinary claim?,"So his wife is most likely to be this woman not that one...)   So my question is: has anyone done this, even over a restricted field such as a particular century or country?",1953
"Statistical Genealogy, or Knowing what is an extraordinary claim",Genealogy_53,"So his wife is most likely to be this woman not that one...)   So my question is: has anyone done this, even over a restricted field such as a particular century or country?",Surely there is a statistically-minded Mormon over at FamilySearch or wherever who has thought of doing this?,0
Locating a 20th century New York Death record,Genealogy_54,I have 2 questions:   Was it normal to live in the US for so long before becoming naturalised?,I would like to find when he died and where he was buried?,0
Dixie Kiefer died on a mountain. Should I include the mountain's name in the place of death?,Genealogy_55,How do I record the place of his death?,"Should I record the place of death as ""Fishkill, Dutchess County, New York, United States""?",417
Dixie Kiefer died on a mountain. Should I include the mountain's name in the place of death?,Genealogy_55,"Should I record the place of death as ""Fishkill, Dutchess County, New York, United States""?","Would most place authorities be smart enough to ignore the ""Beacon Mountain"" part of that and keep the rest?",103
"Confirming Ancestry.com tree information about Anthony White (b. 1700, Luenbeg, Scotland)?",Genealogy_59,How do I go about make sure what I've connected on ancestry.com back that far is correct?,What is/should be my next step(s)?,0
Searching for 1948 C&EI Railroad Employee?,Genealogy_60,Why would she have lied about his age?,Embarrassment I guess?,0
Searching for 1948 C&EI Railroad Employee?,Genealogy_60,Embarrassment I guess?,The main questions I have are:   Could he have just completely lied about his name and gotten away with it?,630
Searching for 1948 C&EI Railroad Employee?,Genealogy_60,The main questions I have are:   Could he have just completely lied about his name and gotten away with it?,So all I have for possibilities at this point are:   1) It WAS the 55 year old  - but the age gap  2) It was the 21 year old (b 1927 d 2007) - but not sure he was even at C&amp;EI in 48 and then there's the whole completely different name thing  3) It was some other person of the same name who fits her exact description and he died/disappeared/moved away shortly thereafter?,330
Does Ancestry.com have a developer API?,Genealogy_61,"So it seems the API exists, but maybe it's private?",Does Ancestry.com have a developer API?,0
Does Ancestry.com have a developer API?,Genealogy_61,Does Ancestry.com have a developer API?,"And if so, how can I get access to it?",0
Are there any published guidelines for organizing a family narrative other than in the Register-style generation-by-generation format?,Genealogy_62,My question is: are there any published guidelines for organizing a family narrative in this way?,Or even a good published example of such?,0
"Tracing child adopted from Washington County, Tennessee Poor Farm in the 1930s?",Genealogy_63,???,and who adopted her and name she took?,0
Jensen vs Jorgensen: Last Name for Danish,Genealogy_64,"Are these the same names and people, or are they indeed different people?","Also, what is generally the case?",0
"Finding archival records for tracing father of illegitimate child in mid 1880s County Down, Ireland?",Genealogy_65,What was the Irish practice in cases of illegitimacy in this timeframe?,"Was it similar to the ""bastardy bonds"" issued in England; if so, do these records survive today?",0
"Finding archival records for tracing father of illegitimate child in mid 1880s County Down, Ireland?",Genealogy_65,"Was it similar to the ""bastardy bonds"" issued in England; if so, do these records survive today?",What should I be looking for at PRONI?,0
"Finding archival records for tracing father of illegitimate child in mid 1880s County Down, Ireland?",Genealogy_65,What should I be looking for at PRONI?,Are there any other records which might be of use to me?,79
Accessing returns from the Marriage Duty Act (1695)?,Genealogy_67,How can I locate Marriage Duty Act tax returns for Notts?,"Or alternatively, how might I access Vialls's listing without visiting IHGS – in other words is it accessible elsewhere?",0
What are the dates on these documents?,Genealogy_69,"This document from a Mississippi probate record has what appears to be a date at the top:   Later on the page, I see:   The following page shows this date:    What are these dates?","Is what looks to me like ""96"" really supposed to be ""9th""?",0
What do the asterisks mean in the Y-DNA Standard Y-STR values table on Family Tree DNA?,Genealogy_71,In my yDNA results on FamilyTreeDNA.com there are two asterisks on DYS19 and three on DYS389II as shown in this image:    What do these mean?,Does it have to do with how quickly they mutate?,24
Is the Autosomal DNA testing ever wrong on relationships?,Genealogy_72,My question is if you match on your DNA with other's that are 1st or 2nd generations then how could that show up if we don't share a common relative?,"If you are 1 generation, does that mean cousin or could it be sibling?",0
Is the Autosomal DNA testing ever wrong on relationships?,Genealogy_72,"If you are 1 generation, does that mean cousin or could it be sibling?",Could this Autosomal DNA test be wrong in its relationships?,0
Looking for parents of Gustav Tesche (born 1877 Germany),Genealogy_73,Where should I search?,Are there some resources online?,0
Determining if an autosomal and X-DNA match is my half-sibling?,Genealogy_74,Is his father my biological father?,"And if so, why do we also share a small amount in our X chromosome, since we definitely have different mothers?",0
Determining if an autosomal and X-DNA match is my half-sibling?,Genealogy_74,"And if so, why do we also share a small amount in our X chromosome, since we definitely have different mothers?",Everyone we have asked seems to confirm that we have to be 1/2 siblings -- is there any other way we can be sure?,0
Is it common to have no close yDNA matches on Family Tree DNA?,Genealogy_75,Does this suggest that my area of the tree is just not tested much at Family Tree so far?,Is this common?,0
Is it common to have no close yDNA matches on Family Tree DNA?,Genealogy_75,Is this common?,"Does this suggest that a NPE is likely in recent generations, or given the lack of matches, unknown likelihood?",0
Seeking English term for relationship between two members of extended family?,Genealogy_77,"Here at the Genealogy and Family History Stack Exchange we see many questions about relationship mapping which is also known as:   relationship calculation kinship terminology etc   If you are just trying to understand how to calculate ""cousins and removes"" then How to determine relationship with a cousin?","However, if you are seeking an English term for a more complicated relationship between two members of an extended family, rather than asking a question like:   What is my step-father&#39;s second wife&#39;s child to me?",28
Seeking English term for relationship between two members of extended family?,Genealogy_77,"However, if you are seeking an English term for a more complicated relationship between two members of an extended family, rather than asking a question like:   What is my step-father&#39;s second wife&#39;s child to me?",in-laws)?,63
Seeking English term for relationship between two members of extended family?,Genealogy_77,in-laws)?,brother be called?,38
Seeking English term for relationship between two members of extended family?,Genealogy_77,brother be called?,What is sibling of son-in-law or daughter-in-law called?,0
Determining location/address of Robert John Steven Sellers in 1900 from Sands and Macdougall Directory for South Australia?,Genealogy_78,What I am yet to discover is how to distinguish residential from business addresses and how to interpret the street names and numbers?,These are two entries in the Sands and Macdougall Directory for 1900 that I believe correspond to my 2nd great grandfather Robert John Steven Sellers/Sellars about whom I have previously asked:   Was Robert John Steven Sellers first to cycle Adelaide to Melbourne?,390
Determining location/address of Robert John Steven Sellers in 1900 from Sands and Macdougall Directory for South Australia?,Genealogy_78,These are two entries in the Sands and Macdougall Directory for 1900 that I believe correspond to my 2nd great grandfather Robert John Steven Sellers/Sellars about whom I have previously asked:   Was Robert John Steven Sellers first to cycle Adelaide to Melbourne?,"What churches in/near Ward 6, Albany, New York State might have baptized Scottish baby in 1854?",0
Determining location/address of Robert John Steven Sellers in 1900 from Sands and Macdougall Directory for South Australia?,Genealogy_78,"What churches in/near Ward 6, Albany, New York State might have baptized Scottish baby in 1854?",Finding New York City/State records relating to Sellars family (British subjects) births/deaths mid 19th century?,0
Determining location/address of Robert John Steven Sellers in 1900 from Sands and Macdougall Directory for South Australia?,Genealogy_78,Finding New York City/State records relating to Sellars family (British subjects) births/deaths mid 19th century?,Does someone perhaps know how to turn the above address information into a modern Adelaide street address that I could look at via Google StreetView or next time I am in Adelaide?,830
"What might occupation of ""public school"" mean in 1885 Sands and Macdougall Directory (for South Australia)?",Genealogy_79,Does it perhaps mean/suggest:   Louisa Sellars was living at a public school in Hindmarsh (and her parents elsewhere)?,Louisa Sellars was attending a public school in Hindmarsh (and living with her parents elsewhere)?,0
"What might occupation of ""public school"" mean in 1885 Sands and Macdougall Directory (for South Australia)?",Genealogy_79,Louisa Sellars was attending a public school in Hindmarsh (and living with her parents elsewhere)?,was a student) somewhere and living in Hindmarsh (presumably with her parents)?,50
"What might occupation of ""public school"" mean in 1885 Sands and Macdougall Directory (for South Australia)?",Genealogy_79,was a student) somewhere and living in Hindmarsh (presumably with her parents)?,or something else?,0
How to reach out to strangers that could be relatives from an illegitimate birth?,Genealogy_80,So the question is...  Do I write and send a certified letter to each of the surviving children?,Do I hire a third party... say a lawyer... to be the intermediary and don't contact them directly?,0
How to reach out to strangers that could be relatives from an illegitimate birth?,Genealogy_80,Do I hire a third party... say a lawyer... to be the intermediary and don't contact them directly?,Any other suggestions?,0
Recording place of death when that is hospital/home away from long term residence?,Genealogy_81,Should the place of death be recorded as the person's normal residence or the town in which he/she died?,What is the convention for this?,0
Claiming noble title of Earl in Ireland that seems to have died out?,Genealogy_82,"Is it possible to claim a noble title from an ancestor several generations back, even when the male line has been broken by a female descendant?",How does one go about this?,68
What records document how African Americans received their Surname in early New York state?,Genealogy_83,Such as was    Chosen for them They chose Did they automatically get the name of their employer / owner?,Other...?,71
What records document how African Americans received their Surname in early New York state?,Genealogy_83,Other...?,and were there any 'guidelines or rules' for this?,0
What records document how African Americans received their Surname in early New York state?,Genealogy_83,and were there any 'guidelines or rules' for this?,"So again to clarify scope of what I am asking: What were the practices of the day, in the context of New York State, for African Americans to receive their surname  / last name and how was it documented?",2061
"Is it proper to record the place name ""United States of America"" or ""USA"" as part of a historical event that pre-dates 1776?",Genealogy_84,   Possible Duplicate:   Should I use the modern (what it is called now) or historical (what it was called) place name?,"Why would such a widely-used program ""insist"" on this method of data entry unless is is acceptable?",121
Merchant marine - how to research people who worked on ships?,Genealogy_85,How do I research the merchant marine?,What online record sources are there of seamen?,0
Merchant marine - how to research people who worked on ships?,Genealogy_85,What online record sources are there of seamen?,"What offline sources do I check, for instance, the National Archives or LDS microfilm?",0
Merchant marine - how to research people who worked on ships?,Genealogy_85,"What offline sources do I check, for instance, the National Archives or LDS microfilm?","If, as the family assumes, he died at sea, how do I document that?",0
Merchant marine - how to research people who worked on ships?,Genealogy_85,"If, as the family assumes, he died at sea, how do I document that?",Where was the father when the mother died and why didn't he take care of the children?,354
Merchant marine - how to research people who worked on ships?,Genealogy_85,Where was the father when the mother died and why didn't he take care of the children?,When did he die and where?,0
Determining if soldier in US Civil War was German mercenary?,Genealogy_86,"Supposing the war stories told by my great-grandfather about his father are true, how could I go about finding a Frederick Ziegler who fought in the Civil War (there were many) from Wurtemburg (still quite a few) but who was a paid mercenary who returned to Germany to fight in the Franco-Prussian War (1870-1871)?",Any suggestions?,219
"What is the significance of a ""right of dower"" in this 1830s era deed (Ohio/New Hampshire, USA)?",Genealogy_87,"Is my understanding correct that she was not a ""grantor"" of the deed, even though her signature (or mark) appears?","Does ""Dower"" attach regardless of when the property was acquired (before or during a marriage), or would it only attached if the property had been acquired before the marriage?",158
"What is the significance of a ""right of dower"" in this 1830s era deed (Ohio/New Hampshire, USA)?",Genealogy_87,"Does ""Dower"" attach regardless of when the property was acquired (before or during a marriage), or would it only attached if the property had been acquired before the marriage?",Only if acquired during the marriage?,0
"What is the significance of a ""right of dower"" in this 1830s era deed (Ohio/New Hampshire, USA)?",Genealogy_87,Only if acquired during the marriage?,"If a wife releases her Dower, does that mean the property had been held by the husband as his ""sole and separate"" asset?",0
"What is the significance of a ""right of dower"" in this 1830s era deed (Ohio/New Hampshire, USA)?",Genealogy_87,"If a wife releases her Dower, does that mean the property had been held by the husband as his ""sole and separate"" asset?",Would the wife have had a right of Dower if she had been a co-owner?,0
"What is the significance of a ""right of dower"" in this 1830s era deed (Ohio/New Hampshire, USA)?",Genealogy_87,Would the wife have had a right of Dower if she had been a co-owner?,What if the couple had held the property as joint tenants (joint tenancy)?,0
"What is the significance of a ""right of dower"" in this 1830s era deed (Ohio/New Hampshire, USA)?",Genealogy_87,What if the couple had held the property as joint tenants (joint tenancy)?,What if the property had been held by the wife?,0
How should I document a surname change from the mid- to late 1700s (US)?,Genealogy_88,How could I learn if this surname had been legally changed?,"Was it possible for some families to just ""change"" the surname without any documentation and for unknown reasons?",0
When does an alternate spelling due to spelling reform warrant preservation?,Genealogy_89,"For example, what is the correct way to handle to romanized Chinese names (as rendered in English)?","Is it appropriate to use the modern spelling standard called Pinyin, introduced in 1956, for names associated with events that occurred prior to 1956, when the Wade-Giles romanization was the dominant standard?",0
Is there a transcription standard that separates unclear words from added words?,Genealogy_90,But I'd like to justify it if I can - so can anyone point me to a standard that distinguishes the two?,Or justify why I shouldn't do so?,0
What type of source is a Family Bible?,Genealogy_91,"Given that many families have old Family Bibles with births, deaths, and marriages recorded in them (some of which may predate formal records of the same from the local jurisdictions, or which occurred in non-jurisdictional locales (eg pioneers heading into the frontier in the Old West), what type of source should those records be?","Are they primary/highly-reliable, or are they only secondary, and other source(s) should be consulted for authority to confirm the contents of the Bible?",0
Learning great-grandmothers maiden name when courthouse burned down?,Genealogy_92,How can I find Jennie Maria's maiden name?,?,0
Record of 2/10 Baluch Regiment soldier in the British archives?,Genealogy_93,What was the fate of those who were loyal to the British?,Any record details with British Army HQ?,0
"Does ""in the 70th year of her life"" mean she was 69?",Genealogy_94,"Should I understand that to mean that she died on or after her 21st birthday, and before her 22nd birthday, so she was 21 when she died?","Given that someone who died ""in the first year of her life"" would die before her first birthday?",0
Maternal or paternal connection?,Genealogy_95,I'm U5b2a2 and he is X2c1 - possible?,?,0
Given Name in parenthesis on Cemetery Stones,Genealogy_96,"But I have sometimes seen first names with a name following that in parenthesis, for example:    In cases like this, is it usual that the person's real name is listed without parenthesis and the used/commonly-known name in parenthesis, or is it usually the other way around?",Or could there be other reasons for a given name to be shown in parenthesis?,243
"What should I look for during a research trip to Knoxville, Tennessee?",Genealogy_97,"What kinds of evidence should I look for that are far less likely to be digitized and indexed online, especially items I could find at a normal (not historical) library or county archive?",Some ideas I've had so far:   Headstones Land ownership or tax records Wills (these are generally online) Newspapers (apparently very few survived from what I've heard so far) Local school yearbooks   Are there other local records that are often overlooked that might be accessible to the general public?,0
Understanding entries in Charlotte County Personal Tax Table for Deceased Person?,Genealogy_98,Have I interpreted those correctly?,Why does Isaac have two entries?,0
Understanding entries in Charlotte County Personal Tax Table for Deceased Person?,Genealogy_98,Why does Isaac have two entries?,"Would it be a minor child over age 16 that is the Heir and his brothers Joshua should be around age 18 and illegible, begins with an I or a J, that are over 18?",0
Understanding entries in Charlotte County Personal Tax Table for Deceased Person?,Genealogy_98,"Would it be a minor child over age 16 that is the Heir and his brothers Joshua should be around age 18 and illegible, begins with an I or a J, that are over 18?",Or could the second Isaac be a Jr. and it reads Junior and not Heir?,0
Deciphering part of 1799 probate from USA?,Genealogy_99,In the numbered parts (which I've highlighted) of the probate for Joseph Eayers pictured below:   Does that mean Joseph was a widow?,"And what does the ""third"" and ""excepted"" part mean?",0
Deciphering part of 1799 probate from USA?,Genealogy_99,"And what does the ""third"" and ""excepted"" part mean?","Does ""incapable of a division"" mean there was dispute/fighting over splitting the will?",0
Deciphering part of 1799 probate from USA?,Genealogy_99,"Does ""incapable of a division"" mean there was dispute/fighting over splitting the will?","If not, how long would it take for wills have been processed in early America?",105
Deciphering part of 1799 probate from USA?,Genealogy_99,"If not, how long would it take for wills have been processed in early America?","In this instance, is the will referring to dead Joseph Sr. or alive son Joseph Jr.?",68
Deciphering part of 1799 probate from USA?,Genealogy_99,"In this instance, is the will referring to dead Joseph Sr. or alive son Joseph Jr.?","And if its the son Jr, is he the one that pays out his father inheritance to his sibling ""co-heirs""?",0
Records of joiners in Glasgow and Edinburgh,Genealogy_100,What was the procedure for becoming a joiner in Glasgow and Edinburgh around 1840?,Are there records of qualified joiners?,0
Records of joiners in Glasgow and Edinburgh,Genealogy_100,Are there records of qualified joiners?,Was it necessary to have already a relative in the trade to be accepted for training?,0
Seeking marriage record of John McGrady and Elizabeth McDonald in Ireland about 1885?,Genealogy_101,Apart from PRONI where else can I search?,Did she need her marriage cert to get an OAPension and can I see it if she produced it for Social Welfare?,0
"What does ""Int. Reads"" mean on list of marriages from around Boston about 1794?",Genealogy_102,It seems to be correcting there names or have an alternate spelling?,It's important I get the most correct version of my family's name so I am curious which one is more correct spelling wise?,0
How can I get USCIS to send me electronic results instead of paper?,Genealogy_103,Is there a way to request documents such that they don't mail them and I get an electronic copy?,"The C-File and AR-2 are listed as mainly being on microfilm, do they have way of creating electronic copies of microfilm?",0
How can I get USCIS to send me electronic results instead of paper?,Genealogy_103,"The C-File and AR-2 are listed as mainly being on microfilm, do they have way of creating electronic copies of microfilm?",Will electronic documents have more information than the printouts that I get?,0
Establishing Native American Lineage via Online Database Tools?,Genealogy_105,The article How Do I Legally Prove Native American Ancestry?,Are there any online databases or similar options that facilitate efficient research for American Indian (Native American) ancestry?,1116
Interpreting runs of homozygosity data to determine how closely parents were related?,Genealogy_106,According to Gedmatch's Are your parents related?,Does this ROH data provide evidence in support of this genealogy?,1224
Interpreting runs of homozygosity data to determine how closely parents were related?,Genealogy_106,Does this ROH data provide evidence in support of this genealogy?,"Or in other words, how does one interpret the number and length of ROH in terms of degree of relationship between the parents?",0
Can this Verlustliste record be excluded or verified based on what (little) I know?,Genealogy_107,My question is: what is known about the unit and rank and whatnot given in the Loss List?,"Can any of it exclude (or much less likely, verify) the entry as a match to my relative?",0
Can this Verlustliste record be excluded or verified based on what (little) I know?,Genealogy_107,"Can any of it exclude (or much less likely, verify) the entry as a match to my relative?",Is there any hope of more information somewhere to go with such an anemic entry in the Loss Lists?,0
Can this Verlustliste record be excluded or verified based on what (little) I know?,Genealogy_107,Is there any hope of more information somewhere to go with such an anemic entry in the Loss Lists?,"Is there someplace where I can look up information about that unit, such as where it was based or where the people in it mostly came from, and what it was doing (where it was) in the summer of 1914?",153
