title,source,q1,q2,sep
What methods exist for remote profiling of oceanic columns?,EarthScience_30,Is anything similar possible for a ship sailing on the ocean?,"What methods exist, in theory and in practice, to remotely sense a profile of temperature, density, salinity, etc., from the ocean floor to the ship?",0
What methods exist for remote profiling of oceanic columns?,EarthScience_30,"What methods exist, in theory and in practice, to remotely sense a profile of temperature, density, salinity, etc., from the ocean floor to the ship?",Or can such profiles only be obtained in-situ?,0
What determines how fast clouds move?,EarthScience_31,Do cirrus clouds in the upper troposphere move faster than cumulus and stratus clouds in the lower atmosphere?,"What about clouds associated with extratropical systems, compared with clouds in the tropics?",0
Why are weather kites no longer used (much) operationally?,EarthScience_32,Why is this so?,Why is it they are not really used operationally anymore?,644
How have levels of outgoing longwave and incoming shortwave radiation changed over the last 20-30 years?,EarthScience_33,I'm just curious though - how have all of these fluxes changed over the last 20 years?,Has net flux been constantly positive over the last 20-30 years?,0
How have levels of outgoing longwave and incoming shortwave radiation changed over the last 20-30 years?,EarthScience_33,Has net flux been constantly positive over the last 20-30 years?,Is it changed by El Niño?,0
How have levels of outgoing longwave and incoming shortwave radiation changed over the last 20-30 years?,EarthScience_33,Is it changed by El Niño?,"Have we seen any changes in the flux associated with the recent ""slowdown"" in global warming?",0
Can we predict which annular modes existed during the time of Pangaea?,EarthScience_34,"I'm just curious - do we have any idea of whether or not these annular modes existed in paleoclimates, particularly around the time of Pangaea?",Do we have the computational power to predict them?,0
How do Rossby Waves in the ocean form?,EarthScience_35,"But what about in the ocean, where we don't see such inhomogeneities?",How is the formation and movement of Rossby Waves in ocean different from that of land?,0
Are certain isobar temperatures higher in mountainous regions?,EarthScience_36,"But is the air temperature at a certain isobar over, say Vail, Colorado, higher than the air temperature of the same isobar over, say, New York City?","And more importantly, do these differences in air temperature along the same isobar affect the large-scale atmospheric circulation?",0
How does the pole-to-equator temperature gradient scale with height contours?,EarthScience_37,Are the pole-to-equator temperature gradients lower at higher heights than at lower heights (like 850 mb/500 mb)?,"If so, why is it the case?",0
How do I explain why the Tibetan plateau is colder than lowlands at similar latitudes?,EarthScience_38,"I remember that, every time I heard or read this explanation as a child, I thought: then why is the Tibetan plateau still colder than lowlands at the same latitude?","Considering a remark from a quantum physics lecturer that you only really understand something after you've taught the subject twice, I'm phrasing my question as such: How does one explain, in layman terms, why the Tibetan plateau is colder than lowlands at similar latitudes?",97
How do weather models work?,EarthScience_39,How do these models work?,"I know they have to take in various data points - what are these, and how does the model use it?",0
How do weather models work?,EarthScience_39,"I know they have to take in various data points - what are these, and how does the model use it?","Also, how do they come up with a forecast or a map of what will happen in the future?",0
How will cloud feedback effects on the climate change as the result of global warming?,EarthScience_40,So my question is this: would global warming increase these feedback effects due to increasing the cloud heights?,"If status clouds gave way to cumulus clouds, what would be their net effects on Earth's radiative budget?",61
Do large-scale modes of variability (like NAM/SAM/ENSO) exist in the ocean?,EarthScience_41,"If so, have they been characterized by EOF analysis in the same way that the annular modes in the atmosphere have been characterized?",Where would be able to find this?,0
How will climate change affect the 3D distribution of lapse rate in the atmosphere?,EarthScience_42,Would climate change change the lapse rate more in the poles than the tropics?,"Would increased humidity be the main reason, or could there be other causes as well?",0
How can I calculate the average latitudinal temperature anomaly between a city and all other locations along the city's latitude?,EarthScience_43,"How could I calculate the average temperature anomaly between, say, Boulder, CO and all other locations along the 40N parallel?","What about Boulder, CO, and all other locations along 40N at Boulder's altitude?",0
How can I calculate the average latitudinal temperature anomaly between a city and all other locations along the city's latitude?,EarthScience_43,"What about Boulder, CO, and all other locations along 40N at Boulder's altitude?","What datasets would I need, and what resolution would they have?",0
How can I calculate the average latitudinal temperature anomaly between a city and all other locations along the city's latitude?,EarthScience_43,"What datasets would I need, and what resolution would they have?",What would be the advantages/disadvantages of these datasets?,0
How much carbon is sequestered out of the atmosphere through marine snow?,EarthScience_44,How much carbon is sequestered in this process?,How does it compare with the amount of carbon sequestered through plants?,0
How much carbon is sequestered out of the atmosphere through marine snow?,EarthScience_44,How does it compare with the amount of carbon sequestered through plants?,I'm also curious: what percent of this carbon sequestration comes from plankton and what percent from fish?,0
How much carbon is sequestered out of the atmosphere through marine snow?,EarthScience_44,I'm also curious: what percent of this carbon sequestration comes from plankton and what percent from fish?,Do seabirds reduce this carbon sequestration?,0
How much carbon is sequestered out of the atmosphere through marine snow?,EarthScience_44,Do seabirds reduce this carbon sequestration?,What about marine mammals?,0
Why is Europe warmer than North America at similar latitudes?,EarthScience_45,How much of a role does the Gulf Stream really play?,Who is right?,0
Similarities between grand circulation solvers and mantle convection solvers,EarthScience_46,What are the other major similarities between these two types of models?,Should there be more shared between these two modeling communities since they both rely on fluid dynamics?,0
How will climate change affect the entropy budget of the atmosphere?,EarthScience_47,I'm just wondering - how will the amount of entropy in the atmosphere change as a result of climate change?,"Seeing that global warming tends to decrease the pole-to-equator gradient (resulting in a more homogeneous temperature distribution), I wonder if it might increase?",0
What are the impacts of sublimation on an annual mountain snowpack?,EarthScience_48,How much potential mountain run off is lost to sublimation anually?,How can we measure this loss?,0
What are the impacts of sublimation on an annual mountain snowpack?,EarthScience_48,How can we measure this loss?,What sort of insight do researchers have on the impacts of sublimation on the local microclimate?,0
How do we measure (or empirically calculate) the amount of entropy in the atmosphere and oceans?,EarthScience_49,"I'm just curious: is entropy directly measured, or indirectly measured from other sources?","If we measured it, what would be the spatial-temporal resolution of such a measurement?",0
How does one measure what causes earthquakes?,EarthScience_50,"But how is the energy stored in the earth in the first place, and what can trigger the release of such energy?","What are the ways to measure/estimate the ""potential"" energy of a fault line, and the likely resulting earthquake, and what are the ways to measure/estimate the energy released by mining or other human activities, and how large an earthquake is likely to result?",179
Why does every tsunami travel differently?,EarthScience_51,So why does this happen?,Why do some tsunamis go straight to land while others are spread out?,0
Why does every tsunami travel differently?,EarthScience_51,Why do some tsunamis go straight to land while others are spread out?,And why others take various pathways toward land or the open sea?,0
Are sandstorms like regular storms?,EarthScience_52,What's the difference between sandstorms and regular storms?,Are they more than just strong wind within deserts?,0
Why don't cold fronts and other steep-gradient weather effects just dissipate?,EarthScience_53,Why don't cold fronts and other steep-gradient weather effects just dissipate?,Why do they last so long?,0
Why don't cold fronts and other steep-gradient weather effects just dissipate?,EarthScience_53,Why do they last so long?,Why doesn't the heat dissipate toward the cooler region?,0
"What do weather forecasters mean when they say ""50% chance of rain""?",EarthScience_54,"What do weather forecasters mean when they say ""50% chance of rain""?","How should I deal with this information, for example, if I'm planning a picnic?",137
How deep could the surface of the Earth's crust get?,EarthScience_55,"In theory, how deep can a natural formation on the surface of the Earth's crust be?",What are the limits to this depth?,0
Can mining trigger earthquakes?,EarthScience_56,Are earthquakes more common in mining regions than they would otherwise be?,is the frequency of earthquakes in those regions different when mining is occurring than when it is not?,4
How long does it take for the ocean conveyor to circulate?,EarthScience_57,What is the period of the thermohaline circulation in the ocean?,"Obviously, individual particles may take longer or shorter, but what is the average for a small water parcel to do a full loop and end up back in the same place?",0
What periods of the fossil record are most lacking in specimens?,EarthScience_58,What parts of the fossil record are most lacking in specimens?,"That is, if you were to trace the evolution of a modern mammal (humans, for example) from abiogenesis to now, which periods are the most lacking in fossils?",0
Does a green or yellow sky actually indicate a tornado?,EarthScience_59,But is there any truth to it?,Could the color of the sky actually be associated with the hail that usually accompanies a tornado?,0
What causes the Earth to have magnetic poles?,EarthScience_60,A compass can tell me the directions of the Earth's North and South poles?,"What is it about the Earth that produces this ""polarity"" such that a compass can pick it up?",0
What causes the Earth to have magnetic poles?,EarthScience_60,"What is it about the Earth that produces this ""polarity"" such that a compass can pick it up?","The first thing that jumped into my head was the Earth's rotation, but if that is the explanation, why have I heard from people that the Earth's polarity can switch every million years or so?",0
How does geothermal heating work?,EarthScience_61,How is it possible to extract this energy?,Must one be near a tectonic plate boundary to gain access to this temperature gradient?,0
How much Uranium is there in the Earth's Crust?,EarthScience_62,Are there any estimates of the amount of Uranium there is in Earth's Crust?,"Mining the core is hardly imaginable, while the resources in Crust are more accessible available for mining: so how much is in the Crust, and at what levels of concentration?",169
"Is there a standard definition of the term ""mountain""?",EarthScience_63,"Is there any standard internationally recognizable definition of the term ""mountain""?","If international texts describe some terrain as mountains, do they use some international definition of the term, or do they use the local definitions?",0
"Is there a standard definition of the term ""mountain""?",EarthScience_63,"If international texts describe some terrain as mountains, do they use some international definition of the term, or do they use the local definitions?",What criteria are usually used to call a terrain 'mountains' in international community?,522
"Is there a standard definition of the term ""mountain""?",EarthScience_63,What criteria are usually used to call a terrain 'mountains' in international community?,"For example, what would we use on this site?",0
What is the origin of the Montmartre mountain in Paris?,EarthScience_64,How has that happen?,Is it an instance of some common geological phenomenon?,0
Which are the biggest methodological differences between the archaeological and geological approaches to stratigraphy?,EarthScience_65,"But how do these differences affect the ""theoretical"" methodology?","That it is usually not possible to dig 100 million old strata with a spade is natural, but how about interpretation?",0
Which are the biggest methodological differences between the archaeological and geological approaches to stratigraphy?,EarthScience_65,"That it is usually not possible to dig 100 million old strata with a spade is natural, but how about interpretation?",Is geological stratigraphy visualized with Harris matrix or something very similar too?,0
Which are the biggest methodological differences between the archaeological and geological approaches to stratigraphy?,EarthScience_65,Is geological stratigraphy visualized with Harris matrix or something very similar too?,Are there any special principles that usually apply only on very old strata?,0
Which are the biggest methodological differences between the archaeological and geological approaches to stratigraphy?,EarthScience_65,Are there any special principles that usually apply only on very old strata?,"Or is geological stratigraphy simpler, so some archaeological stratigraphy rules don't apply?",0
Which are the biggest methodological differences between the archaeological and geological approaches to stratigraphy?,EarthScience_65,"Or is geological stratigraphy simpler, so some archaeological stratigraphy rules don't apply?","Is there any distinctions between various stratigraphic units (layers and cuts, or other distinctions)?",0
Which are the biggest methodological differences between the archaeological and geological approaches to stratigraphy?,EarthScience_65,"Is there any distinctions between various stratigraphic units (layers and cuts, or other distinctions)?","If yes, which categories are usually distinguished?",0
"Coal fires affecting seismic activity, and also volcanoes",EarthScience_67,"Can coal fires cause earthquakes to happen, or possibly prevent or postpone earthquakes?",Also can coal fires trigger(or prevent) volcanic eruptions by affecting flow of magma underground or by some other means?,0
Is it possible to create ice in poles?,EarthScience_68,Is it possible that human can built under the poles a controlled system to create again artificial icebergs?,In order keep tight the melting ice and reduce the sea level?,0
Is it possible to create ice in poles?,EarthScience_68,In order keep tight the melting ice and reduce the sea level?,Can this system impact the quality of life and climate?,0
What is the largest earthquake attributable solely to volcanic activity,EarthScience_69,"This got me thinking - if volcanic activity is less dangerous than plate activity (because it's closer to the surface, perhaps?","), is there some upper limit to the scale of such earthquakes?",0
What is the largest earthquake attributable solely to volcanic activity,EarthScience_69,"), is there some upper limit to the scale of such earthquakes?",Or rather:  What is the largest magnitude measured of an earthquake attributable solely to volcanic activity?,194
How quickly do landslides occur?,EarthScience_70,"When a landslide occurs, how long does the ordeal typically last?","How quickly did these (or anything similar) landslides move, or how long does it take for them to occur from start to finish?",198
how to calculate the average moisture flux over a period of time,EarthScience_72,"Thus, the average moisture flux over these two days is zero?",Is it a correct understanding?,0
how to calculate the average moisture flux over a period of time,EarthScience_72,Is it a correct understanding?,Could you guys give me some useful hints or info?,0
Is this a gold ore? I found it in a California creek next to a mountainside,EarthScience_75,Does anyone know what it could be?,Is there any possibility that it might be gold ore?,0
Sink holes in drainage area,EarthScience_76,"To keep it to a simple question, I'm wondering if this is a sink hole that opened up like all other sink holes in Florida - aka a collapsed underground hole/cave that just happened to miss all the surrounding houses?","Or is it possible that this is a local affect, aka something about these drainage areas can lead to sink hole formation, implying no immediate concern to the surrounding houses?",0
Measuring Transect Length on Sea Floor,EarthScience_77,I was wondering if anybody here could think of a solution to record transect length more reliably or a workaround to equate transect length more accurately?,Is there a piece of equipment which could be affixed to the rake to measure its distance traveled?,0
How is it possible to use up the water in a region?,EarthScience_78,So what is happening here?,"How can water be ""used up""?",0
What is the accepted measure for Wind Coherency (Strength and Direction),EarthScience_79,Is there an accepted method for this?,"If so, how is it calculated?",0
Southern Hemisphere: What is the most Northern latitude where the sun can be seen for more than 24 hours?,EarthScience_80,"Is there a location, in the southern hemisphere, where I could pitch a tent that I would be able to see the sun at any time of day for, say, more than a week?",How far north could I go and still be able to see the sun for two days or more?,0
Erosion without weathering?,EarthScience_81,How can I justify this?,Do we have any examples of erosion without weathering?,71
Weather conditions to create significant glacier growth,EarthScience_82,"Was it harsh winter conditions almost year round, or ?",What was going on with global climate at this time to cause this amazing growth during the maunder minimum?,189
Weather conditions to create significant glacier growth,EarthScience_82,What was going on with global climate at this time to cause this amazing growth during the maunder minimum?,Why the temperature change during this period?,0
What happens if it rains above the boiling point of water?,EarthScience_83,"The pressure will be greater there, but if the temperature is high enough to cause the rain to boil, what happens to the rain?",Does it just evaporate before hitting the ground?,0
What is this spaceship-shaped cloud?,EarthScience_84,Could this be real?,"If so, what kind of cloud is it?",0
What is this spaceship-shaped cloud?,EarthScience_84,"If so, what kind of cloud is it?",and how can it appear out in the open?,0
Computation of absolute precipitation forecast from precipitation anomaly forecast in NOAA CFSv2,EarthScience_85,Is this approach right?,Where can I find a grib or DODS resource with the long term averages?,0
"What kind of temperature unit is ""cK""?",EarthScience_86,"So, what is cK as shown on the graphic, and how do you convert the temperatures shown to degrees Celsius?","If the axis is really some delta temperature, what is the zero point?",0
Difference between landslide waves and earth quake waves,EarthScience_87,I have the following questions?,"1.Will each land slide and every vibration have p wave, s wave and surface wave ?",0
Difference between landslide waves and earth quake waves,EarthScience_87,"1.Will each land slide and every vibration have p wave, s wave and surface wave ?",2.How do we segregate these three waves from the signals we would receive from our field?,0
Help identifying rock please,EarthScience_88,Can anybody help me figure that out please?,?,0
The DRASTIC groundwater vulnerability model and it's relevance today,EarthScience_89,I am simply curious as to whether or not the DRASTIC model is still a widely used tool in the world of hydrogeology?,Could DRASTIC be improved upon to model areas on a per 50 acre basis or less?,117
The DRASTIC groundwater vulnerability model and it's relevance today,EarthScience_89,Could DRASTIC be improved upon to model areas on a per 50 acre basis or less?,Is there even any reason to?,0
Numerical weather forecasting - resources for a programmer?,EarthScience_90,There is a community wiki question over at A good book or source for climate science and meteorology basics?,"Building on that, but with a slightly different focus, are there ""standard texts"" for a computer programmer (with engineering background - I get maths, but don't know which math I need to apply) to help understand numerical weather forecasting?",36
When will the Final Ice Age happen?,EarthScience_91,Will Earth ever be too warm to have any more glacial periods?,"If so, when will that be?",0
What is the area with the largest velocity vertical shear in the ocean?,EarthScience_92,What is the location with the largest shear?,What is the magnitude of that shear?,0
Why does Earth have abundant oxygen in the atmosphere?,EarthScience_93,"My question is, what are the processes primarily responsible for this?","), or is there more to it than that?",82
Why do tropical cyclones around Australia have erratic paths?,EarthScience_94,Why do they change directions so radically?,Does this occur in other parts of the world or are North American hurricanes the anomaly in their typically smooth tracks?,0
Minimum sea-level pressure and maximum wind speed intensity relationship in Hurricane Katrina (2005),EarthScience_95,"For Katrina specifically, is there a pattern in the relationship between MSLP and MWS intensity?",What role does a low or high air pressure system play in the velocity vector of the hurricane?,0
Is a San Andreas volcano possible?,EarthScience_96,Illustrated below:    Is there any evidence that oblique tectonic movement occurs along the San Andreas Fault?,"Hence, is a San Andreas volcano possible?",0
About meddies: what are they? How do they form? How are they maintained?,EarthScience_97,"While many meddies have been observed in recent years, I would want to know what are the common characteristics of such features (temperature, salinity, depth, lifespan)?",What are the conditions that cause the formation of meddies?,0
About meddies: what are they? How do they form? How are they maintained?,EarthScience_97,What are the conditions that cause the formation of meddies?,How are they preserved for so long as they may last for about 2 years and cover distances up to one thousand kilometers?,0
What causes these banded clouds?,EarthScience_98,"There are several similar examples: 17 January and 6, 20 and 24 February  What causes these features?",Why are they of that size?,0
What causes the entrainment of atmospheric gases towards a volcanic ash/tephra plume?,EarthScience_99,"What causes the cool, atmospheric gas to move towards the plume?","Is it due to the temperature differences between the plume and the atmosphere, or some kind of pressure difference?",0
How important is Sahara dust for the Amazon?,EarthScience_100,The question is: how important is this phosphorus to the biological production of the Amazon basin?,"reported very large interannual variability, do we expect to see any variability in the production at annual to decadal scales?",27
Change in earth mass since the time of the dinosaurs,EarthScience_101,Is there a significant difference in the mass of the Earth between now and the time of the dinosaurs (250 - 75 million years ago)?,Is my math correct here?,486
Change in earth mass since the time of the dinosaurs,EarthScience_101,Is my math correct here?,"If it is, would the change in the mass of the Earth over this period of time have had any noticeable effect on weight from its gravity?",0
Predicting school closures with historical weather prediction data?,EarthScience_102,My primary question is therefore what sources are available for local weather predictions at various lags to the realized weather?,"Additionally, are there tables of the predictive quality of forecasts at various time horizons?",0
Why is seawater saline?,EarthScience_103,Why is seawater saline and not fresh?,"Could it be saturated with anything else, like, say, dissolved metal?",0
Why are most minerals so rare?,EarthScience_104,"There are 4,660 known minerals, so why are most of them so rare?",Is it to do with the structure of minerals?,0
Is a controlled fractional crystallization process feasible on the Moon?,EarthScience_105,Am I correct in thinking that mineral separation would occur this way and could be controlled to get good purity?,"I know there are engineering issues, but in terms of the geochemistry, is it correct that crystallization and settling would occur in this way?",0
Adiabatic lapse rate,EarthScience_106,The unsaturated adiabatic lapse rate depends on what?,Why is the unsaturated adiabatic lapse rate lower than the saturated?,0
Adiabatic lapse rate,EarthScience_106,Why is the unsaturated adiabatic lapse rate lower than the saturated?,"When a ""dry"" parcel of air is cooling adiabatically, are we assuming 0% moisture?",200
Did climate cool down when underground hydrocarbons stocks formed?,EarthScience_107,My questions:   Is this roughly what climate theory would predict or am I omitting some things?,Was such an effect observed during the formation of the underground stocks of hydrocarbons?,0
Did climate cool down when underground hydrocarbons stocks formed?,EarthScience_107,Was such an effect observed during the formation of the underground stocks of hydrocarbons?,Can this reasoning be extended to say that a world where no solid hydrocarbons are burnt and the concentration of atmospheric hydrocarbons keeps falling (as it is captured by organism and transformed into solid hydrocarbons) would experience a continuous (if slow) cooling?,0
Did climate cool down when underground hydrocarbons stocks formed?,EarthScience_107,Can this reasoning be extended to say that a world where no solid hydrocarbons are burnt and the concentration of atmospheric hydrocarbons keeps falling (as it is captured by organism and transformed into solid hydrocarbons) would experience a continuous (if slow) cooling?,"Or are there some non-linearities by which the stock of solid hydrocarbons would ""max out"" or the effect of removing carbon from the atmosphere fade away?",0
Persistence time of ozone,EarthScience_108,"Suppose there were no artificial pollutants, and the sun was magically replaced with a giant heat lamp that put out no ultraviolet but kept the current temperature, how long would it take for the ozone to decay of its own accord or by reacting with natural pollutants?","Maybe that's because the other question asks about ozone released near sea level, and I'm asking about ozone in the stratosphere?",167
How to design an experiment to quantify back radiation from atmospheric carbon dioxide?,EarthScience_109,"Based on our current knowledge of CO[tex] and current instrumental techniques, how big would a laboratory sample of air with 400ppm of CO[tex] need to be in order to quantify the back radiation from CO[tex]?",Would this be possible?,436
"Is the ocean guaranteed to warm in a warming climate, regardless of whether it absorbs LW radiation?",EarthScience_110,What I am asking is: is this mechanism necessary for ocean warming to occur?,Is this correct?,321
"Is the ocean guaranteed to warm in a warming climate, regardless of whether it absorbs LW radiation?",EarthScience_110,Is this correct?,"And if it is, does it not imply that the ocean must also get warmer, simply because it is a thermally coupled part of the entire warming system?",0
"Is the ocean guaranteed to warm in a warming climate, regardless of whether it absorbs LW radiation?",EarthScience_110,"And if it is, does it not imply that the ocean must also get warmer, simply because it is a thermally coupled part of the entire warming system?","Am I right, or have I misunderstood?",472
What is the difference between GFS analysis and GFS forecast data?,EarthScience_111,"gfsanl_3_20151201_0000_006 means that the analysis was made at 0000 UTC and is valid at 0600 UTC, doesn't it?","But for how long, 3 hours?",0
What is the difference between GFS analysis and GFS forecast data?,EarthScience_111,"But for how long, 3 hours?","And what is the difference to gfs_4_20151201_0000_006, which is listed under GFS forecast?",0
